gene,gene_short_name,correlation,p-value,discovery_score
WBGene00016022,C23H3.9,0.2003072747419601,9.171670837724374e-06,0
WBGene00010074,irld-34,0.19998844896461873,9.483493173752835e-06,0
WBGene00007183,B0462.4,0.1998305385019389,9.64164850139554e-06,0
WBGene00001612,glr-1,0.19882868849879987,1.0705107493314224e-05,0
WBGene00001701,grd-12,0.19824524742503058,1.1374924927451001e-05,0
WBGene00022614,ZC449.4,0.19603499905916644,1.429220929457037e-05,0
WBGene00001665,gpa-3,0.19386652534486268,1.7836255876371096e-05,0
WBGene00077691,T06E4.14,0.19341511192008115,1.867228194693904e-05,0
WBGene00019840,R02F11.2,0.19295570926746722,1.9561227847360938e-05,0
WBGene00008522,F02D8.5,0.19230665827226956,2.0885856664512406e-05,0
WBGene00044353,ZK418.10,0.19176675051377867,2.2052165384980455e-05,0
WBGene00044588,ZK1236.9,0.1914866085872678,2.2681420235889878e-05,0
WBGene00022472,Y119C1B.6,0.19123777946538814,2.3254591216912783e-05,0
WBGene00009803,F47B8.2,0.19074360184768377,2.44339042749621e-05,0
WBGene00007044,cpna-5,0.19036907212348628,2.536523751911253e-05,0
WBGene00011423,ipla-7,0.18921644005834673,2.8447225557358687e-05,0
WBGene00003751,nlp-13,0.1883570896446896,3.0972481441173224e-05,0
WBGene00018312,F41H8.1,0.18811364938915417,3.172556964251033e-05,0
WBGene00007345,C05E7.3,0.18642440598196855,3.7449278580009043e-05,0
WBGene00016733,phat-2,0.18526728123082165,4.191985909499345e-05,0
WBGene00004926,snt-6,0.18515196169728915,4.239205869791494e-05,0
WBGene00006064,sto-2,0.18461703566179152,4.46489708286615e-05,0
WBGene00020237,phat-4,0.1844172050255651,4.5520861670370673e-05,0
WBGene00004831,slo-2,0.18441263269758518,4.5540998531839287e-05,0
WBGene00045336,R11D1.12,0.18338004876757255,5.0310727109017504e-05,0
WBGene00044316,F41G3.21,0.18048035136752724,6.635531626807757e-05,0
WBGene00000641,col-65,0.1800331053694844,6.922329569977914e-05,0
WBGene00018298,nlp-50,0.1798184052939487,7.064123025111578e-05,0
WBGene00002266,lec-3,0.17927601831068468,7.434626740440534e-05,0
WBGene00003695,nhr-105,0.1789774354284536,7.64633076057057e-05,0
WBGene00020149,T01D1.4,0.17808283037780326,8.315161551430451e-05,0
WBGene00018544,nhr-188,0.17725896799261529,8.979516005392151e-05,0
WBGene00006646,tsp-20,0.1771442509407405,9.075892645829279e-05,0
WBGene00018541,nhr-186,0.17711617486632517,9.099627971747463e-05,0
WBGene00003566,ncx-1,0.17650866787313568,9.6277511425287e-05,0
WBGene00007908,C34B4.3,0.1763242720310925,9.793674590424857e-05,0
WBGene00000893,cyn-17,0.17522056450064877,0.00010844448433876694,0
WBGene00000678,col-104,0.17519136231632346,0.00010873639656545978,0
WBGene00000286,cal-2,0.1749204866780371,0.00011147958219762473,0
WBGene00022664,ZK121.2,0.17314178536936764,0.00013117435833569227,0
WBGene00000239,bas-1,0.1701483886502933,0.00017186828405826057,0
WBGene00194689,Y38H6C.24,0.16860008198637413,0.00019730053982167935,0
WBGene00019055,F58F9.1,0.16693208485924296,0.00022861924859839827,0
WBGene00015678,mcp-1,0.16658102236731354,0.00023577782138203165,0
WBGene00001132,alp-1,0.16623558155194257,0.00024302598181646863,0
WBGene00044418,C08G5.7,0.1646517770620547,0.0002790057714225875,0
WBGene00044283,spp-22,0.16453539897904007,0.00028183684528255076,0
WBGene00015546,C06G1.2,0.16294585643310225,0.00032329025713102253,0
WBGene00022648,ZK54.3,0.1628520561784245,0.00032590602557655394,0
WBGene00004913,snn-1,0.16271895090293262,0.0003296517814376966,0
WBGene00003620,nhr-21,0.16062788774335618,0.00039402627809984395,0
WBGene00000653,col-77,0.1605533799661056,0.00039652289522871154,0
WBGene00017076,D2096.9,0.16037809120894736,0.0004024547184630669,0
WBGene00005533,sri-21,0.1602045926510677,0.00040840725198905403,0
WBGene00008550,F07B10.4,0.16002946332361406,0.00041449879428914456,0
WBGene00018803,fbxa-24,0.15974847717035673,0.0004244493782694489,0
WBGene00005243,srh-18,0.15898682338123912,0.0004525513163143813,0
WBGene00015619,C08G9.1,0.1567403824733746,0.0005458392435141574,0
WBGene00012019,dkf-2,0.1565848277703003,0.0005529187194247687,0
WBGene00003653,nhr-63,0.15603032934773897,0.0005788541315425509,0
WBGene00010603,nhr-198,0.15461357997383232,0.0006503351917971482,0
WBGene00020635,T20H4.2,0.15387293091865592,0.0006908818779932621,0
WBGene00022441,Y110A2AL.4,0.15303407669853458,0.0007396270620793685,0
WBGene00020485,ceh-54,0.15262485789303518,0.000764544787404866,0
WBGene00012833,Y43F8C.11,0.15247775984175466,0.0007736899727178561,0
WBGene00020023,frpr-16,0.15138481945018928,0.0008448753909140119,0
WBGene00003175,mec-12,0.1508962497895044,0.0008786155399367723,0
WBGene00003884,osm-3,0.1504924796253558,0.0009074347286370018,0
WBGene00004740,scd-2,0.15041555873790075,0.0009130230435732176,0
WBGene00019839,R02F11.1,0.15035071252391546,0.0009177588117217705,0
WBGene00010838,M03C11.1,0.15003453279338191,0.0009411763994253671,0
WBGene00000280,cah-2,0.14991516408660657,0.0009501599273690477,0
WBGene00022635,ZC581.9,0.1484916914517609,0.0010635660209925876,0
WBGene00001725,grl-16,0.14729392329901234,0.0011685252258363098,0
WBGene00009496,F36H1.11,0.14696391682583462,0.0011990757604151616,0
WBGene00003759,nlp-21,0.14686768256141788,0.001208122245354587,0
WBGene00000611,col-34,0.14577066891517182,0.0013157833920196952,0
WBGene00000288,cal-4,0.14452751361563448,0.001448413264437558,0
WBGene00011328,T01D3.3,0.1436866454406612,0.0015449726477031805,0
WBGene00018879,F55D10.4,0.14332051994766315,0.0015888343301891006,0
WBGene00002016,hsp-16.2,0.14330772502717573,0.0015903876219721545,0
WBGene00003756,nlp-18,0.14222452610620478,0.0017270544845357748,0
WBGene00013574,lron-13,0.1411411011808131,0.0018744436035948314,0
WBGene00001758,gst-10,0.14106980722422566,0.0018845351431075717,0
WBGene00013298,Y57G11B.6,0.14094572062622057,0.001902218110833016,0
WBGene00044029,C05D12.7,0.14067698221233807,0.0019410365832298736,0
WBGene00003495,mup-2,0.14045636894923014,0.0019734439730225077,0
WBGene00014160,ZK938.3,0.13990456213105318,0.0020566823197071074,0
WBGene00017198,nhr-36,0.13973424875773754,0.002083014688243252,0
WBGene00010681,mak-1,0.13900549951349106,0.0021992051171692605,0
WBGene00019154,glf-1,0.1389025651764646,0.002216085790540895,0
WBGene00016918,test-1,0.13887597068602472,0.0022204663433889526,0
WBGene00019200,H14E04.3,0.13875433775295762,0.0022406023031044057,0
WBGene00017907,F28F9.3,0.13866974000940008,0.0022547053969386717,0
WBGene00017616,F20A1.4,0.13855989964405221,0.0022731376014311355,0
WBGene00009969,F53B7.7,0.13827086746718867,0.002322299189751359,0
WBGene00003889,osm-9,0.13824007121314077,0.0023275941566807366,0
WBGene00020229,T05A8.3,0.13767008553333,0.002427605866965375,0
WBGene00005988,srx-97,0.13763827621802047,0.002433301086147355,0
WBGene00005831,srw-84,0.1373814078534524,0.002479740020009622,0
WBGene00011433,pde-1,0.13721498458451334,0.002510257518795272,0
WBGene00018376,F43C9.2,0.13703096851320348,0.002544399477385693,0
WBGene00017335,F10D2.10,0.13695749577275004,0.0025581493251782403,0
WBGene00010316,F59B8.1,0.13651209319327876,0.0026429629756569858,0
WBGene00008376,D1054.9,0.136095921457383,0.0027245179219914702,0
WBGene00000603,col-14,0.1358638153550855,0.0027709918270285216,0
WBGene00022295,cng-2,0.13550374807535912,0.002844516865273037,0
WBGene00005317,srh-98,0.13549146773002077,0.0028470555148981005,0
WBGene00011999,T24F1.7,0.13532475849801678,0.0028817230266251176,0
WBGene00006016,srx-125,0.1348381482230507,0.0029851230095291597,0
WBGene00011678,T10B9.9,0.13423039066691747,0.003119000513534008,0
WBGene00010144,F56C4.1,0.13324005022512864,0.00334888400179579,0
WBGene00009573,F40E10.5,0.13269162839103377,0.0034827040048742808,0
